
Date,Amount,Category,Subcategory,Payment Method,Description,Ref/Check No,Payee/Payer,Status,Receipt Picture,Account,Tag,Tax,Quantity,Split Total,Row Id,Type Id
31-07-2009,14894,Income,Salary,Cash,first salary,,,Cleared,,Personal Expense,,,,,1,
05-08-2009,-425,Misc,Gifts,Cash,rakshababhan gift,,,Cleared,,Personal Expense,,,,,2,
14-08-2009,-2000,Rent,Rent/mortgage,Cash,Room rent THANE,,,Cleared,,Personal Expense,,,,,3,
14-08-2009,-26,Food,Food,Cash,bhaji 6 chapati,,,Cleared,,Personal Expense,,,,,4,
15-08-2009,-300,Misc,Party,Cash,party to prasad dalvi,,,Cleared,,Personal Expense,,,,,5,
17-08-2009,-3000,Home care,Home care,Cash,sent to home for ganpati,,,Cleared,,Personal Expense,,,,,6,
18-08-2009,-23,Food,Food,Cash,bhaji 5 chapati,,,Cleared,,Personal Expense,,,,,7,
18-08-2009,-5,Travel,Rikshaw,Cash,rik,,,Cleared,,Personal Expense,,,,,8,
18-08-2009,-10,Travel,Rikshaw,Cash,return to vik station,,,Cleared,,Personal Expense,,,,,9,
19-08-2009,-4,Travel,Rikshaw,Cash,shared,,,Cleared,,Personal Expense,,,,,10,
19-08-2009,-16,Food,Food,Cash,fruit plate,,,Cleared,,Personal Expense,,,,,11,
19-08-2009,-6,Food,Food,Cash,3 chapati,,,Cleared,,Personal Expense,,,,,12,
19-08-2009,-13,Food,Food,Cash,machurian chilly,,,Cleared,,Personal Expense,,,,,13,
25-08-2009,-222,Household,Phone,Cash,recharge actually,,,Cleared,,Personal Expense,,,,,14,
25-08-2009,-43,Study,Books,Cash,Unix for dba zerox,,,Cleared,,Personal Expense,,,,,15,
25-08-2009,-23,Food,Food,Cash,bhali 5 chapati,,,Cleared,,Personal Expense,,,,,16,
25-08-2009,-4,Travel,Rikshaw,Cash,to vik station,,,Cleared,,Personal Expense,,,,,17,
25-08-2009,-20,Food,Food,Cash,2 ragada patis,,,Cleared,,Personal Expense,,,,,18,
26-08-2009,-3,Travel,Rikshaw,Cash,bus actually,,,Cleared,,Personal Expense,,,,,19,
26-08-2009,-23,Food,Food,Cash,bhaji 5  chapati,,,Cleared,,Personal Expense,,,,,20,
